Date,Program,Provider,Attendance
8/28/2018,Path to Home Lodge,Bridge House,42
8/29/2018,Path to Home Lodge,Bridge House,41
8/30/2018,Path to Home Lodge,Bridge House,41
8/31/2018,Path to Home Lodge,Bridge House,42
9/1/2018,Path to Home Lodge,Bridge House,36
9/2/2018,Path to Home Lodge,Bridge House,26
9/3/2018,Path to Home Lodge,Bridge House,27
9/4/2018,Path to Home Lodge,Bridge House,37
9/5/2018,Path to Home Lodge,Bridge House,30
9/6/2018,Path to Home Lodge,Bridge House,36
9/7/2018,Path to Home Lodge,Bridge House,34
9/8/2018,Path to Home Lodge,Bridge House,39
9/9/2018,Path to Home Lodge,Bridge House,35
9/10/2018,Path to Home Lodge,Bridge House,37
9/11/2018,Path to Home Lodge,Bridge House,39
9/12/2018,Path to Home Lodge,Bridge House,34
9/13/2018,Path to Home Lodge,Bridge House,35
9/14/2018,Path to Home Lodge,Bridge House,34
9/15/2018,Path to Home Lodge,Bridge House,28
9/16/2018,Path to Home Lodge,Bridge House,31
9/17/2018,Path to Home Lodge,Bridge House,26
9/18/2018,Path to Home Lodge,Bridge House,26
9/19/2018,Path to Home Lodge,Bridge House,35
9/20/2018,Path to Home Lodge,Bridge House,38
9/21/2018,Path to Home Lodge,Bridge House,36
9/22/2018,Path to Home Lodge,Bridge House,35
9/23/2018,Path to Home Lodge,Bridge House,33
9/24/2018,Path to Home Lodge,Bridge House,34
9/25/2018,Path to Home Lodge,Bridge House,32
9/26/2018,Path to Home Lodge,Bridge House,37
9/27/2018,Path to Home Lodge,Bridge House,38
9/28/2018,Path to Home Lodge,Bridge House,39
9/29/2018,Path to Home Lodge,Bridge House,40
9/30/2018,Path to Home Lodge,Bridge House,38
10/1/2018,Path to Home Lodge,Bridge House,37
10/2/2018,Path to Home Lodge,Bridge House,38
10/3/2018,Path to Home Lodge,Bridge House,36
10/4/2018,Path to Home Lodge,Bridge House,42
10/5/2018,Path to Home Lodge,Bridge House,39
10/6/2018,Path to Home Lodge,Bridge House,34
10/7/2018,Path to Home Lodge,Bridge House,37
10/8/2018,Path to Home Lodge,Bridge House,37
10/9/2018,Path to Home Lodge,Bridge House,43
10/10/2018,Path to Home Lodge,Bridge House,40
10/11/2018,Path to Home Lodge,Bridge House,39
10/12/2018,Path to Home Lodge,Bridge House,41
10/13/2018,Path to Home Lodge,Bridge House,37
10/14/2018,Path to Home Lodge,Bridge House,35
10/15/2018,Path to Home Lodge,Bridge House,33
10/16/2018,Path to Home Lodge,Bridge House,34
10/17/2018,Path to Home Lodge,Bridge House,34
10/18/2018,Path to Home Lodge,Bridge House,41
10/19/2018,Path to Home Lodge,Bridge House,42
10/20/2018,Path to Home Lodge,Bridge House,40
10/21/2018,Path to Home Lodge,Bridge House,42
10/22/2018,Path to Home Lodge,Bridge House,37
10/23/2018,Path to Home Lodge,Bridge House,37
10/24/2018,Path to Home Lodge,Bridge House,37
10/25/2018,Path to Home Lodge,Bridge House,35
10/26/2018,Path to Home Lodge,Bridge House,39
10/27/2018,Path to Home Lodge,Bridge House,40
10/28/2018,Path to Home Lodge,Bridge House,39
10/29/2018,Path to Home Lodge,Bridge House,37
10/30/2018,Path to Home Lodge,Bridge House,41
10/31/2018,Path to Home Lodge,Bridge House,27
11/1/2018,Path to Home Lodge,Bridge House,40
11/2/2018,Path to Home Lodge,Bridge House,40
11/3/2018,Path to Home Lodge,Bridge House,39
11/4/2018,Path to Home Lodge,Bridge House,37
11/5/2018,Path to Home Lodge,Bridge House,32
11/6/2018,Path to Home Lodge,Bridge House,38
11/7/2018,Path to Home Lodge,Bridge House,38
11/8/2018,Path to Home Lodge,Bridge House,44
11/9/2018,Path to Home Lodge,Bridge House,41
11/10/2018,Path to Home Lodge,Bridge House,34
11/11/2018,Path to Home Lodge,Bridge House,38
11/12/2018,Path to Home Lodge,Bridge House,41
11/13/2018,Path to Home Lodge,Bridge House,44
11/14/2018,Path to Home Lodge,Bridge House,43
11/15/2018,Path to Home Lodge,Bridge House,43
11/16/2018,Path to Home Lodge,Bridge House,40
11/17/2018,Path to Home Lodge,Bridge House,37
11/18/2018,Path to Home Lodge,Bridge House,38
11/19/2018,Path to Home Lodge,Bridge House,35
11/20/2018,Path to Home Lodge,Bridge House,29
11/21/2018,Path to Home Lodge,Bridge House,33
11/22/2018,Path to Home Lodge,Bridge House,31
11/23/2018,Path to Home Lodge,Bridge House,38
11/24/2018,Path to Home Lodge,Bridge House,45
11/25/2018,Path to Home Lodge,Bridge House,43
11/26/2018,Path to Home Lodge,Bridge House,39
11/27/2018,Path to Home Lodge,Bridge House,39
11/28/2018,Path to Home Lodge,Bridge House,37
11/29/2018,Path to Home Lodge,Bridge House,40
11/30/2018,Path to Home Lodge,Bridge House,43
12/1/2018,Path to Home Lodge,Bridge House,41
12/2/2018,Path to Home Lodge,Bridge House,40
12/3/2018,Path to Home Lodge,Bridge House,37
12/4/2018,Path to Home Lodge,Bridge House,38
12/5/2018,Path to Home Lodge,Bridge House,42
12/6/2018,Path to Home Lodge,Bridge House,39
12/7/2018,Path to Home Lodge,Bridge House,40
12/8/2018,Path to Home Lodge,Bridge House,37
12/9/2018,Path to Home Lodge,Bridge House,37
12/10/2018,Path to Home Lodge,Bridge House,35
12/11/2018,Path to Home Lodge,Bridge House,38
12/12/2018,Path to Home Lodge,Bridge House,37
12/13/2018,Path to Home Lodge,Bridge House,38
12/14/2018,Path to Home Lodge,Bridge House,40
12/15/2018,Path to Home Lodge,Bridge House,37
12/16/2018,Path to Home Lodge,Bridge House,35
12/17/2018,Path to Home Lodge,Bridge House,39
12/18/2018,Path to Home Lodge,Bridge House,45
12/19/2018,Path to Home Lodge,Bridge House,47
12/20/2018,Path to Home Lodge,Bridge House,46
12/21/2018,Path to Home Lodge,Bridge House,42
12/22/2018,Path to Home Lodge,Bridge House,38
12/23/2018,Path to Home Lodge,Bridge House,38
12/24/2018,Path to Home Lodge,Bridge House,32
12/25/2018,Path to Home Lodge,Bridge House,42
12/26/2018,Path to Home Lodge,Bridge House,45
12/27/2018,Path to Home Lodge,Bridge House,43
12/28/2018,Path to Home Lodge,Bridge House,32
12/29/2018,Path to Home Lodge,Bridge House,34
12/30/2018,Path to Home Lodge,Bridge House,36
12/31/2018,Path to Home Lodge,Bridge House,32
1/1/2019,Path to Home Lodge,Bridge House,30
1/2/2019,Path to Home Lodge,Bridge House,30
1/3/2019,Path to Home Lodge,Bridge House,34
1/4/2019,Path to Home Lodge,Bridge House,30
1/5/2019,Path to Home Lodge,Bridge House,32
1/6/2019,Path to Home Lodge,Bridge House,34
1/7/2019,Path to Home Lodge,Bridge House,36
1/8/2019,Path to Home Lodge,Bridge House,38
1/9/2019,Path to Home Lodge,Bridge House,37
1/10/2019,Path to Home Lodge,Bridge House,44
1/11/2019,Path to Home Lodge,Bridge House,44
1/12/2019,Path to Home Lodge,Bridge House,39
1/13/2019,Path to Home Lodge,Bridge House,44
1/14/2019,Path to Home Lodge,Bridge House,44
1/15/2019,Path to Home Lodge,Bridge House,43
1/16/2019,Path to Home Lodge,Bridge House,40
1/17/2019,Path to Home Lodge,Bridge House,37
1/18/2019,Path to Home Lodge,Bridge House,41
1/19/2019,Path to Home Lodge,Bridge House,35
1/20/2019,Path to Home Lodge,Bridge House,42
1/21/2019,Path to Home Lodge,Bridge House,25
1/22/2019,Path to Home Lodge,Bridge House,29
1/23/2019,Path to Home Lodge,Bridge House,29
1/24/2019,Path to Home Lodge,Bridge House,30
1/25/2019,Path to Home Lodge,Bridge House,28
1/26/2019,Path to Home Lodge,Bridge House,32
1/27/2019,Path to Home Lodge,Bridge House,36
1/28/2019,Path to Home Lodge,Bridge House,33
1/29/2019,Path to Home Lodge,Bridge House,32
1/30/2019,Path to Home Lodge,Bridge House,28
1/31/2019,Path to Home Lodge,Bridge House,30
2/1/2019,Path to Home Lodge,Bridge House,30
2/2/2019,Path to Home Lodge,Bridge House,30
2/3/2019,Path to Home Lodge,Bridge House,29
2/4/2019,Path to Home Lodge,Bridge House,29
2/5/2019,Path to Home Lodge,Bridge House,27
2/6/2019,Path to Home Lodge,Bridge House,34
2/7/2019,Path to Home Lodge,Bridge House,33
2/8/2019,Path to Home Lodge,Bridge House,37
2/9/2019,Path to Home Lodge,Bridge House,37
2/10/2019,Path to Home Lodge,Bridge House,39
2/11/2019,Path to Home Lodge,Bridge House,38
2/12/2019,Path to Home Lodge,Bridge House,32
2/13/2019,Path to Home Lodge,Bridge House,39
2/14/2019,Path to Home Lodge,Bridge House,41
2/15/2019,Path to Home Lodge,Bridge House,45
2/16/2019,Path to Home Lodge,Bridge House,41
2/17/2019,Path to Home Lodge,Bridge House,43
2/18/2019,Path to Home Lodge,Bridge House,40
2/19/2019,Path to Home Lodge,Bridge House,37
2/20/2019,Path to Home Lodge,Bridge House,41
2/21/2019,Path to Home Lodge,Bridge House,42
2/22/2019,Path to Home Lodge,Bridge House,43
2/23/2019,Path to Home Lodge,Bridge House,39
2/24/2019,Path to Home Lodge,Bridge House,37
2/25/2019,Path to Home Lodge,Bridge House,40
2/26/2019,Path to Home Lodge,Bridge House,45
2/27/2019,Path to Home Lodge,Bridge House,41
2/28/2019,Path to Home Lodge,Bridge House,37
3/1/2019,Path to Home Lodge,Bridge House,39
3/2/2019,Path to Home Lodge,Bridge House,37
3/3/2019,Path to Home Lodge,Bridge House,39
3/4/2019,Path to Home Lodge,Bridge House,40
3/5/2019,Path to Home Lodge,Bridge House,39
3/6/2019,Path to Home Lodge,Bridge House,48
3/7/2019,Path to Home Lodge,Bridge House,39
3/8/2019,Path to Home Lodge,Bridge House,48
3/9/2019,Path to Home Lodge,Bridge House,40
3/10/2019,Path to Home Lodge,Bridge House,46
3/11/2019,Path to Home Lodge,Bridge House,42
3/12/2019,Path to Home Lodge,Bridge House,39
3/13/2019,Path to Home Lodge,Bridge House,39
3/14/2019,Path to Home Lodge,Bridge House,38
3/15/2019,Path to Home Lodge,Bridge House,42
3/16/2019,Path to Home Lodge,Bridge House,38
3/17/2019,Path to Home Lodge,Bridge House,44
3/18/2019,Path to Home Lodge,Bridge House,45
3/19/2019,Path to Home Lodge,Bridge House,43
3/20/2019,Path to Home Lodge,Bridge House,40
3/21/2019,Path to Home Lodge,Bridge House,40
3/22/2019,Path to Home Lodge,Bridge House,40
3/23/2019,Path to Home Lodge,Bridge House,44
3/24/2019,Path to Home Lodge,Bridge House,42
3/25/2019,Path to Home Lodge,Bridge House,41
3/26/2019,Path to Home Lodge,Bridge House,46
3/27/2019,Path to Home Lodge,Bridge House,41
3/28/2019,Path to Home Lodge,Bridge House,44
3/29/2019,Path to Home Lodge,Bridge House,43
3/30/2019,Path to Home Lodge,Bridge House,46
3/31/2019,Path to Home Lodge,Bridge House,43
10/8/2017,Severe Weather Shelter,Bridge House,15
10/9/2017,Severe Weather Shelter,Bridge House,32
10/29/2017,Severe Weather Shelter,Bridge House,10
10/30/2017,Severe Weather Shelter,Bridge House,16
11/7/2017,Severe Weather Shelter,Bridge House,24
11/27/2017,Severe Weather Shelter,Bridge House,12
11/28/2017,Severe Weather Shelter,Bridge House,8
12/3/2017,Severe Weather Shelter,Bridge House,7
12/4/2017,Severe Weather Shelter,Bridge House,18
12/6/2017,Severe Weather Shelter,Bridge House,16
12/7/2017,Severe Weather Shelter,Bridge House,17
12/13/2017,Severe Weather Shelter,Bridge House,10
12/16/2017,Severe Weather Shelter,Bridge House,12
12/20/2017,Severe Weather Shelter,Bridge House,30
12/21/2017,Severe Weather Shelter,Bridge House,38
12/22/2017,Severe Weather Shelter,Bridge House,28
12/23/2017,Severe Weather Shelter,Bridge House,16
12/24/2017,Severe Weather Shelter,Bridge House,34
12/25/2017,Severe Weather Shelter,Bridge House,30
12/26/2017,Severe Weather Shelter,Bridge House,43
12/30/2017,Severe Weather Shelter,Bridge House,17
12/31/2017,Severe Weather Shelter,Bridge House,33
1/1/2018,Severe Weather Shelter,Bridge House,29
1/6/2018,Severe Weather Shelter,Bridge House,6
1/10/2018,Severe Weather Shelter,Bridge House,15
1/14/2018,Severe Weather Shelter,Bridge House,10
1/15/2018,Severe Weather Shelter,Bridge House,46
1/16/2018,Severe Weather Shelter,Bridge House,35
1/20/2018,Severe Weather Shelter,Bridge House,33
1/21/2018,Severe Weather Shelter,Bridge House,25
1/22/2018,Severe Weather Shelter,Bridge House,40
1/23/2018,Severe Weather Shelter,Bridge House,41
1/26/2018,Severe Weather Shelter,Bridge House,22
1/27/2018,Severe Weather Shelter,Bridge House,12
1/28/2018,Severe Weather Shelter,Bridge House,25
1/31/2018,Severe Weather Shelter,Bridge House,42
2/1/2018,Severe Weather Shelter,Bridge House,37
2/3/2018,Severe Weather Shelter,Bridge House,9
2/4/2018,Severe Weather Shelter,Bridge House,34
2/5/2018,Severe Weather Shelter,Bridge House,25
2/6/2018,Severe Weather Shelter,Bridge House,37
2/7/2018,Severe Weather Shelter,Bridge House,42
2/8/2018,Severe Weather Shelter,Bridge House,33
2/9/2018,Severe Weather Shelter,Bridge House,39
2/10/2018,Severe Weather Shelter,Bridge House,49
2/11/2018,Severe Weather Shelter,Bridge House,32
2/12/2018,Severe Weather Shelter,Bridge House,43
2/13/2018,Severe Weather Shelter,Bridge House,43
2/14/2018,Severe Weather Shelter,Bridge House,46
2/15/2018,Severe Weather Shelter,Bridge House,53
2/16/2018,Severe Weather Shelter,Bridge House,49
2/17/2018,Severe Weather Shelter,Bridge House,34
2/18/2018,Severe Weather Shelter,Bridge House,21
2/19/2018,Severe Weather Shelter,Bridge House,40
2/20/2018,Severe Weather Shelter,Bridge House,48
2/21/2018,Severe Weather Shelter,Bridge House,53
2/22/2018,Severe Weather Shelter,Bridge House,52
2/23/2018,Severe Weather Shelter,Bridge House,53
2/24/2018,Severe Weather Shelter,Bridge House,57
2/25/2018,Severe Weather Shelter,Bridge House,60
2/26/2018,Severe Weather Shelter,Bridge House,54
2/27/2018,Severe Weather Shelter,Bridge House,46
2/28/2018,Severe Weather Shelter,Bridge House,51
3/1/2018,Severe Weather Shelter,Bridge House,51
3/4/2018,Severe Weather Shelter,Bridge House,36
3/5/2018,Severe Weather Shelter,Bridge House,40
3/6/2018,Severe Weather Shelter,Bridge House,38
3/7/2018,Severe Weather Shelter,Bridge House,44
3/10/2018,Severe Weather Shelter,Bridge House,38
3/11/2018,Severe Weather Shelter,Bridge House,35
3/12/2018,Severe Weather Shelter,Bridge House,24
3/15/2018,Severe Weather Shelter,Bridge House,25
3/16/2018,Severe Weather Shelter,Bridge House,27
3/18/2018,Severe Weather Shelter,Bridge House,40
3/19/2018,Severe Weather Shelter,Bridge House,26
3/20/2018,Severe Weather Shelter,Bridge House,31
3/25/2018,Severe Weather Shelter,Bridge House,22
3/26/2018,Severe Weather Shelter,Bridge House,37
3/27/2018,Severe Weather Shelter,Bridge House,29
3/28/2018,Severe Weather Shelter,Bridge House,38
3/29/2018,Severe Weather Shelter,Bridge House,48
3/31/2018,Severe Weather Shelter,Bridge House,24
4/1/2018,Severe Weather Shelter,Bridge House,26
4/2/2018,Severe Weather Shelter,Bridge House,32
4/3/2018,Severe Weather Shelter,Bridge House,40
4/5/2018,Severe Weather Shelter,Bridge House,23
4/6/2018,Severe Weather Shelter,Bridge House,58
4/12/2018,Severe Weather Shelter,Bridge House,34
4/13/2018,Severe Weather Shelter,Bridge House,44
4/14/2018,Severe Weather Shelter,Bridge House,30
4/17/2018,Severe Weather Shelter,Bridge House,32
4/18/2018,Severe Weather Shelter,Bridge House,30
4/20/2018,Severe Weather Shelter,Bridge House,40
4/23/2018,Severe Weather Shelter,Bridge House,24
4/24/2018,Severe Weather Shelter,Bridge House,42
5/2/2018,Severe Weather Shelter,Bridge House,31
5/18/2018,Severe Weather Shelter,Bridge House,15
10/5/2018,Severe Weather Shelter,Bridge House,17
10/6/2018,Severe Weather Shelter,Bridge House,20
10/7/2018,Severe Weather Shelter,Bridge House,13
10/8/2018,Severe Weather Shelter,Bridge House,55
10/9/2018,Severe Weather Shelter,Bridge House,45
10/10/2018,Severe Weather Shelter,Bridge House,56
10/11/2018,Severe Weather Shelter,Bridge House,43
10/13/2018,Severe Weather Shelter,Bridge House,36
10/14/2018,Severe Weather Shelter,Bridge House,74
10/15/2018,Severe Weather Shelter,Bridge House,48
10/16/2018,Severe Weather Shelter,Bridge House,57
10/30/2018,Severe Weather Shelter,Bridge House,52
11/3/2018,Severe Weather Shelter,Bridge House,18
11/4/2018,Severe Weather Shelter,Bridge House,22
11/5/2018,Severe Weather Shelter,Bridge House,28
11/6/2018,Severe Weather Shelter,Bridge House,38
11/7/2018,Severe Weather Shelter,Bridge House,43
11/8/2018,Severe Weather Shelter,Bridge House,53
11/9/2018,Severe Weather Shelter,Bridge House,54
11/10/2018,Severe Weather Shelter,Bridge House,51
11/11/2018,Severe Weather Shelter,Bridge House,76
11/12/2018,Severe Weather Shelter,Bridge House,39
11/13/2018,Severe Weather Shelter,Bridge House,65
11/16/2018,Severe Weather Shelter,Bridge House,53
11/17/2018,Severe Weather Shelter,Bridge House,46
11/18/2018,Severe Weather Shelter,Bridge House,38
11/19/2018,Severe Weather Shelter,Bridge House,45
11/20/2018,Severe Weather Shelter,Bridge House,52
11/21/2018,Severe Weather Shelter,Bridge House,56
11/23/2018,Severe Weather Shelter,Bridge House,59
11/24/2018,Severe Weather Shelter,Bridge House,43
11/25/2018,Severe Weather Shelter,Bridge House,60
11/26/2018,Severe Weather Shelter,Bridge House,53
11/28/2018,Severe Weather Shelter,Bridge House,41
11/29/2018,Severe Weather Shelter,Bridge House,46
11/30/2018,Severe Weather Shelter,Bridge House,43
12/1/2018,Severe Weather Shelter,Bridge House,47
12/2/2018,Severe Weather Shelter,Bridge House,54
12/3/2018,Severe Weather Shelter,Bridge House,55
12/4/2018,Severe Weather Shelter,Bridge House,59
12/5/2018,Severe Weather Shelter,Bridge House,50
12/6/2018,Severe Weather Shelter,Bridge House,54
12/7/2018,Severe Weather Shelter,Bridge House,61
12/8/2018,Severe Weather Shelter,Bridge House,53
12/9/2018,Severe Weather Shelter,Bridge House,46
12/11/2018,Severe Weather Shelter,Bridge House,45
12/12/2018,Severe Weather Shelter,Bridge House,67
12/13/2018,Severe Weather Shelter,Bridge House,67
12/14/2018,Severe Weather Shelter,Bridge House,57
12/15/2018,Severe Weather Shelter,Bridge House,61
12/16/2018,Severe Weather Shelter,Bridge House,51
12/19/2018,Severe Weather Shelter,Bridge House,57
12/20/2018,Severe Weather Shelter,Bridge House,60
12/21/2018,Severe Weather Shelter,Bridge House,59
12/22/2018,Severe Weather Shelter,Bridge House,51
12/23/2018,Severe Weather Shelter,Bridge House,64
12/24/2018,Severe Weather Shelter,Bridge House,55
12/25/2018,Severe Weather Shelter,Bridge House,63
12/26/2018,Severe Weather Shelter,Bridge House,75
12/27/2018,Severe Weather Shelter,Bridge House,82
12/28/2018,Severe Weather Shelter,Bridge House,93
12/29/2018,Severe Weather Shelter,Bridge House,85
12/30/2018,Severe Weather Shelter,Bridge House,78
12/31/2018,Severe Weather Shelter,Bridge House,76
1/1/2019,Severe Weather Shelter,Bridge House,76
1/2/2019,Severe Weather Shelter,Bridge House,77
1/3/2019,Severe Weather Shelter,Bridge House,65
1/4/2019,Severe Weather Shelter,Bridge House,47
1/5/2019,Severe Weather Shelter,Bridge House,49
1/6/2019,Severe Weather Shelter,Bridge House,61
1/7/2019,Severe Weather Shelter,Bridge House,62
1/8/2019,Severe Weather Shelter,Bridge House,64
1/9/2019,Severe Weather Shelter,Bridge House,0
1/10/2019,Severe Weather Shelter,Bridge House,43
1/11/2019,Severe Weather Shelter,Bridge House,69
1/12/2019,Severe Weather Shelter,Bridge House,76
1/13/2019,Severe Weather Shelter,Bridge House,79
1/14/2019,Severe Weather Shelter,Bridge House,73
1/15/2019,Severe Weather Shelter,Bridge House,75
1/16/2019,Severe Weather Shelter,Bridge House,60
1/17/2019,Severe Weather Shelter,Bridge House,58
1/18/2019,Severe Weather Shelter,Bridge House,71
1/19/2019,Severe Weather Shelter,Bridge House,70
1/20/2019,Severe Weather Shelter,Bridge House,59
1/21/2019,Severe Weather Shelter,Bridge House,78
1/22/2019,Severe Weather Shelter,Bridge House,76
1/23/2019,Severe Weather Shelter,Bridge House,77
1/24/2019,Severe Weather Shelter,Bridge House,80
1/25/2019,Severe Weather Shelter,Bridge House,79
1/26/2019,Severe Weather Shelter,Bridge House,67
1/27/2019,Severe Weather Shelter,Bridge House,60
1/28/2019,Severe Weather Shelter,Bridge House,76
1/29/2019,Severe Weather Shelter,Bridge House,76
1/30/2019,Severe Weather Shelter,Bridge House,75
1/31/2019,Severe Weather Shelter,Bridge House,68
2/1/2019,Severe Weather Shelter,Bridge House,0
2/2/2019,Severe Weather Shelter,Bridge House,0
2/3/2019,Severe Weather Shelter,Bridge House,46
2/4/2019,Severe Weather Shelter,Bridge House,66
2/5/2019,Severe Weather Shelter,Bridge House,64
2/6/2019,Severe Weather Shelter,Bridge House,82
2/7/2019,Severe Weather Shelter,Bridge House,91
2/8/2019,Severe Weather Shelter,Bridge House,86
2/9/2019,Severe Weather Shelter,Bridge House,83
2/10/2019,Severe Weather Shelter,Bridge House,91
2/11/2019,Severe Weather Shelter,Bridge House,82
2/12/2019,Severe Weather Shelter,Bridge House,74
2/13/2019,Severe Weather Shelter,Bridge House,80
2/14/2019,Severe Weather Shelter,Bridge House,77
2/15/2019,Severe Weather Shelter,Bridge House,67
2/16/2019,Severe Weather Shelter,Bridge House,70
2/17/2019,Severe Weather Shelter,Bridge House,77
2/18/2019,Severe Weather Shelter,Bridge House,80
2/19/2019,Severe Weather Shelter,Bridge House,81
2/20/2019,Severe Weather Shelter,Bridge House,74
2/21/2019,Severe Weather Shelter,Bridge House,86
2/22/2019,Severe Weather Shelter,Bridge House,85
2/23/2019,Severe Weather Shelter,Bridge House,92
2/24/2019,Severe Weather Shelter,Bridge House,87
2/25/2019,Severe Weather Shelter,Bridge House,84
2/26/2019,Severe Weather Shelter,Bridge House,73
2/27/2019,Severe Weather Shelter,Bridge House,72
2/28/2019,Severe Weather Shelter,Bridge House,70
3/1/2019,Severe Weather Shelter,Bridge House,79
3/2/2019,Severe Weather Shelter,Bridge House,94
3/3/2019,Severe Weather Shelter,Bridge House,85
3/4/2019,Severe Weather Shelter,Bridge House,88
3/5/2019,Severe Weather Shelter,Bridge House,82
3/6/2019,Severe Weather Shelter,Bridge House,90
3/7/2019,Severe Weather Shelter,Bridge House,87
3/8/2019,Severe Weather Shelter,Bridge House,92
3/9/2019,Severe Weather Shelter,Bridge House,88
3/10/2019,Severe Weather Shelter,Bridge House,78
3/11/2019,Severe Weather Shelter,Bridge House,78
3/12/2019,Severe Weather Shelter,Bridge House,72
3/13/2019,Severe Weather Shelter,Bridge House,91
3/14/2019,Severe Weather Shelter,Bridge House,90
3/15/2019,Severe Weather Shelter,Bridge House,81
3/16/2019,Severe Weather Shelter,Bridge House,85
3/17/2019,Severe Weather Shelter,Bridge House,72
3/18/2019,Severe Weather Shelter,Bridge House,74
3/19/2019,Severe Weather Shelter,Bridge House,78
3/20/2019,Severe Weather Shelter,Bridge House,74
3/22/2019,Severe Weather Shelter,Bridge House,66
3/24/2019,Severe Weather Shelter,Bridge House,57
3/25/2019,Severe Weather Shelter,Bridge House,66
3/28/2019,Severe Weather Shelter,Bridge House,58
3/29/2019,Severe Weather Shelter,Bridge House,80
3/30/2019,Severe Weather Shelter,Bridge House,79
3/31/2019,Severe Weather Shelter,Bridge House,68
