Acquisition Type,AMI Category,Bathrooms,Bedrooms,Block GeoID,Built Year,Organizational Sponsor/Owner,Property/Project Name,Restriction Type,Square Feet,Tenure Type,Unit ID,Unit Type,Year Unit Became Permanently Affordable
LTRA,80% AMI,0,1,80130124011,1916,Mental Health Partners,980 University,Likely to Remain Affordable,273,Rental,3393,,1999
LTRA,80% AMI,0,1,80130124011,1916,Mental Health Partners,980 University,Likely to Remain Affordable,273,Rental,3394,,1999
LTRA,30% AMI,1,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,3406,,2013
LTRA,30% AMI,1,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,3407,,2013
LTRA,30% AMI,0,1,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,3408,,2013
LTRA,30% AMI,0,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,3409,,2013
LTRA,30% AMI,0,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,3410,,2013
LTRA,30% AMI,1,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3411,,2013
LTRA,30% AMI,1,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3412,,2013
LTRA,30% AMI,1,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3413,,2013
LTRA,30% AMI,1,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3414,,2013
LTRA,30% AMI,0,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3415,,2013
LTRA,30% AMI,0,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3416,,2013
LTRA,30% AMI,0,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3417,,2013
LTRA,30% AMI,0,0,80130125011,1969,Imagine!,Manhattan Drive,Likely to Remain Affordable,400,Rental,3418,,2013
LTRA,HUD Low,1,1,80130121023,1958,Mental Health Partners,Alpine House,Likely to Remain Affordable,483,Rental,3436,,2003
LTRA,HUD Low,1,1,80130121023,1958,Mental Health Partners,Alpine House,Likely to Remain Affordable,483,Rental,3437,,2003
LTRA,HUD Low,1,1,80130121023,1958,Mental Health Partners,Alpine House,Likely to Remain Affordable,483,Rental,3438,,2003
LTRA,HUD Low,1,1,80130121023,1958,Mental Health Partners,Alpine House,Likely to Remain Affordable,483,Rental,3439,,2003
LTRA,30% AMI,1,1,80130121054,1963,Imagine!,Linden Ave,Likely to Remain Affordable,326,Rental,3441,,2013
LTRA,30% AMI,1,1,80130121054,1963,Imagine!,Linden Ave,Likely to Remain Affordable,326,Rental,3442,,2013
LTRA,30% AMI,1,1,80130121054,1963,Imagine!,Linden Ave,Likely to Remain Affordable,326,Rental,3443,,2013
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3485,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3486,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3487,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3488,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3489,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3490,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3491,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3492,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3493,,1999
LTRA,HUD Low,1,2,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,720,Rental,3494,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3495,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3496,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3497,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3498,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3499,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3500,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3501,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3502,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3503,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3504,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3505,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3506,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3507,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3508,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3509,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3510,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3511,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3512,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3513,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3514,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3515,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3516,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3517,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3518,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3519,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3520,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3521,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3522,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3523,,1999
LTRA,HUD Low,1,1,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,585,Rental,3524,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3525,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3526,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3527,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3528,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3529,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3530,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3531,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3532,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3533,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3534,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3535,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3536,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3537,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3538,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3539,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3540,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3541,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3542,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3543,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3544,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3545,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3546,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3547,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3548,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3549,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3550,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3551,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3552,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3553,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3554,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3555,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3556,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3557,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3558,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3559,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3560,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3561,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3562,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3563,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3564,,1999
LTRA,HUD Low,1,0,80130122042,1962,NA,Presbyterian Manor,Likely to Remain Affordable,500,Rental,3565,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,714,Homeowner,3566,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,854,Homeowner,3567,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,854,Homeowner,3568,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,714,Homeowner,3569,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,700,Homeowner,3570,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,700,Homeowner,3571,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,714,Homeowner,3572,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,714,Homeowner,3573,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,714,Homeowner,3574,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,854,Homeowner,3575,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,854,Homeowner,3576,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,714,Homeowner,3577,,1999
LTRA,HUD Low,1,1,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,361,Homeowner,3578,,1999
LTRA,HUD Low,1,2,80130122032,1984,Thistle,Sunnypoint Condominiums,Likely to Remain Affordable,854,Homeowner,3579,,1999
LTRA,30% AMI,0,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,4202,,2013
LTRA,30% AMI,0,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,4203,,2013
LTRA,30% AMI,0,0,80130122022,1984,Imagine!,19th Street,Likely to Remain Affordable,429,Rental,4204,,2013
LTRA,30% AMI,1,1,80130125012,1972,Imagine!,Tenino Ave,Likely to Remain Affordable,290,Rental,4205,,2008
LTRA,30% AMI,1,1,80130125012,1972,Imagine!,Tenino Ave,Likely to Remain Affordable,290,Rental,4206,,2008
LTRA,30% AMI,0,1,80130125012,1972,Imagine!,Tenino Ave,Likely to Remain Affordable,290,Rental,4207,,2008
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,4996,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,4997,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,4998,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,4999,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5000,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5001,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5002,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5003,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5004,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5005,,2015
LTRA,HUD + 10%,1,1,80130126081,2002,Archdiocesan Housing Management Services,Dunn Memorial,Likely to Remain Affordable,750,Rental,5006,,2015
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5100,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5101,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5102,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5103,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5104,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5105,,1999
LTRA,80% AMI,1,1,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5106,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5107,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5108,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5109,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5110,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5111,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5112,,1999
LTRA,80% AMI,1,1,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5113,,1999
LTRA,80% AMI,1,1,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5114,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5115,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5116,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5117,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5118,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,430,Rental,5119,,1999
LTRA,80% AMI,1,1,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5120,,1999
LTRA,80% AMI,1,1,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5121,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,420,Rental,5122,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,420,Rental,5123,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,420,Rental,5124,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5125,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5126,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5127,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5128,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5129,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5130,,1999
LTRA,80% AMI,1,0,80130126071,1965,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5131,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5132,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5133,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5134,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5135,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5136,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5137,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5138,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,445,Rental,5139,,1999
LTRA,80% AMI,1,1,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5140,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,540,Rental,5141,,1999
LTRA,30% AMI,1,0,NA,1903,Emergency Family Assistance Association,Echo House,Likely to Remain Affordable,300,Rental,5582,,NA
LTRA,30% AMI,1,1,NA,1903,Emergency Family Assistance Association,Echo House,Likely to Remain Affordable,450,Rental,5583,,NA
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5715,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5716,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5717,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5718,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5719,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5720,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5721,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5722,,1999
LTRA,50% AMI,1.5,4,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,1107,Rental,5723,,1999
LTRA,50% AMI,1,2,80130122031,1971,NA,San Juan del Centro,Likely to Remain Affordable,747,Rental,5724,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5774,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5775,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5776,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5777,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,430,Rental,5778,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,430,Rental,5779,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,420,Rental,5780,,1999
LTRA,80% AMI,1,0,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,470,Rental,5781,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,420,Rental,5782,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,430,Rental,5783,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,420,Rental,5784,,1999
LTRA,80% AMI,1,1,80130126071,1964,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,800,Rental,5785,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,455,Rental,5786,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5787,,1999
LTRA,80% AMI,1,0,80130126071,1971,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,455,Rental,5788,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5789,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5790,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5791,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5792,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5793,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5794,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5795,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5796,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5797,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5798,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5799,,1999
LTRA,80% AMI,1,2,80130126071,1965,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,940,Rental,5800,,1999
LTRA,80% AMI,1,0,80130126071,1965,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,455,Rental,5801,,1999
LTRA,80% AMI,1,0,80130126071,1989,Golen West Manor,Golden West Senior Living,Likely to Remain Affordable,311,Rental,5802,,1999
