Acquisition Type,AMI Category,Bathrooms,Bedrooms,Block GeoID,Built Year,Organizational Sponsor/Owner,Property/Project Name,Restriction Type,Square Feet,Tenure Type,Unit ID,Unit Type,Year Unit Became Permanently Affordable
LTRA,80% AMI,1,1,80130122043,1955,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,425,Rental,2506,,1999
LTRA,80% AMI,1,1,80130122043,1955,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,419,Rental,2507,,1999
LTRA,80% AMI,1,1,80130122043,1955,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,321,Rental,2508,,1999
LTRA,80% AMI,1,1,80130122043,1962,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,473,Rental,2509,,1999
LTRA,80% AMI,1,1,80130122043,1962,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,473,Rental,2511,,1999
LTRA,80% AMI,1,1,80130122043,1962,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,473,Rental,2512,,1999
LTRA,80% AMI,1,1,80130122043,1962,Boulder Housing Partners,Arapahoe Court,Likely to Remain Affordable,473,Rental,2513,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2545,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2546,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2547,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2548,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2549,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2550,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2551,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2553,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2554,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2555,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2556,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2557,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2558,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2559,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2560,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2561,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2562,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2563,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2564,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2565,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2566,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2567,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2568,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2569,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2570,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2571,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2572,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2573,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2574,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2575,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2576,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2577,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2578,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2579,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2580,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2581,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2582,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2583,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2584,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2585,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2586,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2587,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2588,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2589,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2590,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2591,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2592,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2593,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2594,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2595,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2596,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2597,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2598,,1999
LTRA,50% AMI,1,1,80130122011,1979,Boulder Housing Partners,Canyon Pointe Apartments,Likely to Remain Affordable,550,Rental,2599,,1999
