id,area_code,year,household_type_id,household_type_description,age_group_id,age_group_description,total_households
1,0,2010,0,All Households,0,Total,1981383
2,0,2010,0,All Households,1,18-24,112758
3,0,2010,0,All Households,2,25-44,724528
4,0,2010,0,All Households,3,45-64,785631
5,0,2010,0,All Households,4,65 & Over,358466
6,0,2010,1,One adult with no children,0,Total,566378
7,0,2010,1,One adult with no children,1,18-24,32617
8,0,2010,1,One adult with no children,2,25-44,156959
9,0,2010,1,One adult with no children,3,45-64,218328
10,0,2010,1,One adult with no children,4,65 & Over,158474
11,0,2010,2,One adult with children,0,Total,101177
12,0,2010,2,One adult with children,1,18-24,8312
13,0,2010,2,One adult with children,2,25-44,64942
14,0,2010,2,One adult with children,3,45-64,26991
15,0,2010,2,One adult with children,4,65 & Over,932
16,0,2010,3,More than one adult with no children,0,Total,781371
17,0,2010,3,More than one adult with no children,1,18-24,51991
18,0,2010,3,More than one adult with no children,2,25-44,169142
19,0,2010,3,More than one adult with no children,3,45-64,371323
20,0,2010,3,More than one adult with no children,4,65 & Over,188915
21,0,2010,4,More than one adult with children,0,Total,532457
22,0,2010,4,More than one adult with children,1,18-24,19838
23,0,2010,4,More than one adult with children,2,25-44,333485
24,0,2010,4,More than one adult with children,3,45-64,168989
25,0,2010,4,More than one adult with children,4,65 & Over,10145
26,0,2011,0,All Households,0,Total,2002474
27,0,2011,0,All Households,1,18-24,110559
28,0,2011,0,All Households,2,25-44,730598
29,0,2011,0,All Households,3,45-64,791586
30,0,2011,0,All Households,4,65 & Over,369731
31,0,2011,1,One adult with no children,0,Total,570634
32,0,2011,1,One adult with no children,1,18-24,31786
33,0,2011,1,One adult with no children,2,25-44,157347
34,0,2011,1,One adult with no children,3,45-64,218722
35,0,2011,1,One adult with no children,4,65 & Over,162779
36,0,2011,2,One adult with children,0,Total,100473
37,0,2011,2,One adult with children,1,18-24,7697
38,0,2011,2,One adult with children,2,25-44,64739
39,0,2011,2,One adult with children,3,45-64,27122
40,0,2011,2,One adult with children,4,65 & Over,915
41,0,2011,3,More than one adult with no children,0,Total,795031
42,0,2011,3,More than one adult with no children,1,18-24,52094
43,0,2011,3,More than one adult with no children,2,25-44,173877
44,0,2011,3,More than one adult with no children,3,45-64,373673
45,0,2011,3,More than one adult with no children,4,65 & Over,195387
46,0,2011,4,More than one adult with children,0,Total,536336
47,0,2011,4,More than one adult with children,1,18-24,18982
48,0,2011,4,More than one adult with children,2,25-44,334635
49,0,2011,4,More than one adult with children,3,45-64,172069
50,0,2011,4,More than one adult with children,4,65 & Over,10650
51,0,2012,0,All Households,0,Total,2025655
52,0,2012,0,All Households,1,18-24,108408
53,0,2012,0,All Households,2,25-44,736136
54,0,2012,0,All Households,3,45-64,790344
55,0,2012,0,All Households,4,65 & Over,390767
56,0,2012,1,One adult with no children,0,Total,576958
57,0,2012,1,One adult with no children,1,18-24,30961
58,0,2012,1,One adult with no children,2,25-44,157570
59,0,2012,1,One adult with no children,3,45-64,217111
60,0,2012,1,One adult with no children,4,65 & Over,171316
61,0,2012,2,One adult with children,0,Total,99448
62,0,2012,2,One adult with children,1,18-24,7072
63,0,2012,2,One adult with children,2,25-44,64448
64,0,2012,2,One adult with children,3,45-64,27005
65,0,2012,2,One adult with children,4,65 & Over,923
66,0,2012,3,More than one adult with no children,0,Total,810547
67,0,2012,3,More than one adult with no children,1,18-24,52245
68,0,2012,3,More than one adult with no children,2,25-44,178614
69,0,2012,3,More than one adult with no children,3,45-64,372607
70,0,2012,3,More than one adult with no children,4,65 & Over,207081
71,0,2012,4,More than one adult with children,0,Total,538702
72,0,2012,4,More than one adult with children,1,18-24,18130
73,0,2012,4,More than one adult with children,2,25-44,335504
74,0,2012,4,More than one adult with children,3,45-64,173621
75,0,2012,4,More than one adult with children,4,65 & Over,11447
76,0,2013,0,All Households,0,Total,2047633
77,0,2013,0,All Households,1,18-24,106642
78,0,2013,0,All Households,2,25-44,741130
79,0,2013,0,All Households,3,45-64,790730
80,0,2013,0,All Households,4,65 & Over,409131
81,0,2013,1,One adult with no children,0,Total,582445
82,0,2013,1,One adult with no children,1,18-24,30261
83,0,2013,1,One adult with no children,2,25-44,157640
84,0,2013,1,One adult with no children,3,45-64,215940
85,0,2013,1,One adult with no children,4,65 & Over,178604
86,0,2013,2,One adult with children,0,Total,98409
87,0,2013,2,One adult with children,1,18-24,6459
88,0,2013,2,One adult with children,2,25-44,64088
89,0,2013,2,One adult with children,3,45-64,26947
90,0,2013,2,One adult with children,4,65 & Over,915
91,0,2013,3,More than one adult with no children,0,Total,825621
92,0,2013,3,More than one adult with no children,1,18-24,52590
93,0,2013,3,More than one adult with no children,2,25-44,183324
94,0,2013,3,More than one adult with no children,3,45-64,372288
95,0,2013,3,More than one adult with no children,4,65 & Over,217419
96,0,2013,4,More than one adult with children,0,Total,541158
97,0,2013,4,More than one adult with children,1,18-24,17332
98,0,2013,4,More than one adult with children,2,25-44,336078
99,0,2013,4,More than one adult with children,3,45-64,175555
100,0,2013,4,More than one adult with children,4,65 & Over,12193
101,0,2014,0,All Households,0,Total,2070135
102,0,2014,0,All Households,1,18-24,104870
103,0,2014,0,All Households,2,25-44,744938
104,0,2014,0,All Households,3,45-64,793660
105,0,2014,0,All Households,4,65 & Over,426667
106,0,2014,1,One adult with no children,0,Total,587785
107,0,2014,1,One adult with no children,1,18-24,29512
108,0,2014,1,One adult with no children,2,25-44,157395
109,0,2014,1,One adult with no children,3,45-64,215431
110,0,2014,1,One adult with no children,4,65 & Over,185447
111,0,2014,2,One adult with children,0,Total,97285
112,0,2014,2,One adult with children,1,18-24,5817
113,0,2014,2,One adult with children,2,25-44,63605
114,0,2014,2,One adult with children,3,45-64,26965
115,0,2014,2,One adult with children,4,65 & Over,898
116,0,2014,3,More than one adult with no children,0,Total,841448
117,0,2014,3,More than one adult with no children,1,18-24,53033
118,0,2014,3,More than one adult with no children,2,25-44,187860
119,0,2014,3,More than one adult with no children,3,45-64,373169
120,0,2014,3,More than one adult with no children,4,65 & Over,227386
121,0,2014,4,More than one adult with children,0,Total,543617
122,0,2014,4,More than one adult with children,1,18-24,16508
123,0,2014,4,More than one adult with children,2,25-44,336078
124,0,2014,4,More than one adult with children,3,45-64,178095
125,0,2014,4,More than one adult with children,4,65 & Over,12936
126,0,2015,0,All Households,0,Total,2099609
127,0,2015,0,All Households,1,18-24,102887
128,0,2015,0,All Households,2,25-44,751300
129,0,2015,0,All Households,3,45-64,801111
130,0,2015,0,All Households,4,65 & Over,444311
131,0,2015,1,One adult with no children,0,Total,594686
132,0,2015,1,One adult with no children,1,18-24,28695
133,0,2015,1,One adult with no children,2,25-44,157597
134,0,2015,1,One adult with no children,3,45-64,216138
135,0,2015,1,One adult with no children,4,65 & Over,192256
136,0,2015,2,One adult with children,0,Total,96506
137,0,2015,2,One adult with children,1,18-24,5141
138,0,2015,2,One adult with children,2,25-44,63334
139,0,2015,2,One adult with children,3,45-64,27150
140,0,2015,2,One adult with children,4,65 & Over,881
141,0,2015,3,More than one adult with no children,0,Total,860136
142,0,2015,3,More than one adult with no children,1,18-24,53419
143,0,2015,3,More than one adult with no children,2,25-44,193103
144,0,2015,3,More than one adult with no children,3,45-64,376139
145,0,2015,3,More than one adult with no children,4,65 & Over,237475
146,0,2015,4,More than one adult with children,0,Total,548281
147,0,2015,4,More than one adult with children,1,18-24,15632
148,0,2015,4,More than one adult with children,2,25-44,337266
149,0,2015,4,More than one adult with children,3,45-64,181684
150,0,2015,4,More than one adult with children,4,65 & Over,13699
151,0,2016,0,All Households,0,Total,2124582
152,0,2016,0,All Households,1,18-24,100596
153,0,2016,0,All Households,2,25-44,757494
154,0,2016,0,All Households,3,45-64,805390
155,0,2016,0,All Households,4,65 & Over,461102
156,0,2016,1,One adult with no children,0,Total,599937
157,0,2016,1,One adult with no children,1,18-24,27768
158,0,2016,1,One adult with no children,2,25-44,157668
159,0,2016,1,One adult with no children,3,45-64,215917
160,0,2016,1,One adult with no children,4,65 & Over,198584
161,0,2016,2,One adult with children,0,Total,95552
162,0,2016,2,One adult with children,1,18-24,4434
163,0,2016,2,One adult with children,2,25-44,63044
164,0,2016,2,One adult with children,3,45-64,27223
165,0,2016,2,One adult with children,4,65 & Over,851
166,0,2016,3,More than one adult with no children,0,Total,876987
167,0,2016,3,More than one adult with no children,1,18-24,53685
168,0,2016,3,More than one adult with no children,2,25-44,198380
169,0,2016,3,More than one adult with no children,3,45-64,377705
170,0,2016,3,More than one adult with no children,4,65 & Over,247217
171,0,2016,4,More than one adult with children,0,Total,552106
172,0,2016,4,More than one adult with children,1,18-24,14709
173,0,2016,4,More than one adult with children,2,25-44,338402
174,0,2016,4,More than one adult with children,3,45-64,184545
175,0,2016,4,More than one adult with children,4,65 & Over,14450
176,0,2017,0,All Households,0,Total,2144403
177,0,2017,0,All Households,1,18-24,97723
178,0,2017,0,All Households,2,25-44,765198
179,0,2017,0,All Households,3,45-64,803177
180,0,2017,0,All Households,4,65 & Over,478305
181,0,2017,1,One adult with no children,0,Total,603607
182,0,2017,1,One adult with no children,1,18-24,26659
183,0,2017,1,One adult with no children,2,25-44,158054
184,0,2017,1,One adult with no children,3,45-64,213902
185,0,2017,1,One adult with no children,4,65 & Over,204992
186,0,2017,2,One adult with children,0,Total,94412
187,0,2017,2,One adult with children,1,18-24,3684
188,0,2017,2,One adult with children,2,25-44,62850
189,0,2017,2,One adult with children,3,45-64,27060
190,0,2017,2,One adult with children,4,65 & Over,818
191,0,2017,3,More than one adult with no children,0,Total,891445
192,0,2017,3,More than one adult with no children,1,18-24,53714
193,0,2017,3,More than one adult with no children,2,25-44,204185
194,0,2017,3,More than one adult with no children,3,45-64,376285
195,0,2017,3,More than one adult with no children,4,65 & Over,257261
196,0,2017,4,More than one adult with children,0,Total,554939
197,0,2017,4,More than one adult with children,1,18-24,13666
198,0,2017,4,More than one adult with children,2,25-44,340109
199,0,2017,4,More than one adult with children,3,45-64,185930
200,0,2017,4,More than one adult with children,4,65 & Over,15234
201,0,2018,0,All Households,0,Total,2225228
202,0,2018,0,All Households,1,18-24,97648
203,0,2018,0,All Households,2,25-44,794312
204,0,2018,0,All Households,3,45-64,823358
205,0,2018,0,All Households,4,65 & Over,509910
206,0,2018,1,One adult with no children,0,Total,624310
207,0,2018,1,One adult with no children,1,18-24,26316
208,0,2018,1,One adult with no children,2,25-44,162727
209,0,2018,1,One adult with no children,3,45-64,217814
210,0,2018,1,One adult with no children,4,65 & Over,217453
211,0,2018,2,One adult with children,0,Total,95842
212,0,2018,2,One adult with children,1,18-24,3011
213,0,2018,2,One adult with children,2,25-44,64363
214,0,2018,2,One adult with children,3,45-64,27663
215,0,2018,2,One adult with children,4,65 & Over,805
216,0,2018,3,More than one adult with no children,0,Total,931674
217,0,2018,3,More than one adult with no children,1,18-24,55337
218,0,2018,3,More than one adult with no children,2,25-44,215916
219,0,2018,3,More than one adult with no children,3,45-64,385273
220,0,2018,3,More than one adult with no children,4,65 & Over,275148
221,0,2018,4,More than one adult with children,0,Total,573402
222,0,2018,4,More than one adult with children,1,18-24,12984
223,0,2018,4,More than one adult with children,2,25-44,351306
224,0,2018,4,More than one adult with children,3,45-64,192608
225,0,2018,4,More than one adult with children,4,65 & Over,16504
226,0,2019,0,All Households,0,Total,2264293
227,0,2019,0,All Households,1,18-24,99820
228,0,2019,0,All Households,2,25-44,810356
229,0,2019,0,All Households,3,45-64,826367
230,0,2019,0,All Households,4,65 & Over,527750
231,0,2019,1,One adult with no children,0,Total,635493
232,0,2019,1,One adult with no children,1,18-24,26892
233,0,2019,1,One adult with no children,2,25-44,165942
234,0,2019,1,One adult with no children,3,45-64,218633
235,0,2019,1,One adult with no children,4,65 & Over,224026
236,0,2019,2,One adult with children,0,Total,97303
237,0,2019,2,One adult with children,1,18-24,3077
238,0,2019,2,One adult with children,2,25-44,65696
239,0,2019,2,One adult with children,3,45-64,27771
240,0,2019,2,One adult with children,4,65 & Over,759
241,0,2019,3,More than one adult with no children,0,Total,948923
242,0,2019,3,More than one adult with no children,1,18-24,56570
243,0,2019,3,More than one adult with no children,2,25-44,220190
244,0,2019,3,More than one adult with no children,3,45-64,386568
245,0,2019,3,More than one adult with no children,4,65 & Over,285595
246,0,2019,4,More than one adult with children,0,Total,582574
247,0,2019,4,More than one adult with children,1,18-24,13281
248,0,2019,4,More than one adult with children,2,25-44,358528
249,0,2019,4,More than one adult with children,3,45-64,193395
250,0,2019,4,More than one adult with children,4,65 & Over,17370
251,0,2020,0,All Households,0,Total,2299019
252,0,2020,0,All Households,1,18-24,100226
253,0,2020,0,All Households,2,25-44,823998
254,0,2020,0,All Households,3,45-64,829199
255,0,2020,0,All Households,4,65 & Over,545596
256,0,2020,1,One adult with no children,0,Total,645576
257,0,2020,1,One adult with no children,1,18-24,26993
258,0,2020,1,One adult with no children,2,25-44,168654
259,0,2020,1,One adult with no children,3,45-64,219395
260,0,2020,1,One adult with no children,4,65 & Over,230534
261,0,2020,2,One adult with children,0,Total,98495
262,0,2020,2,One adult with children,1,18-24,3090
263,0,2020,2,One adult with children,2,25-44,66834
264,0,2020,2,One adult with children,3,45-64,27870
265,0,2020,2,One adult with children,4,65 & Over,701
266,0,2020,3,More than one adult with no children,0,Total,964523
267,0,2020,3,More than one adult with no children,1,18-24,56818
268,0,2020,3,More than one adult with no children,2,25-44,223808
269,0,2020,3,More than one adult with no children,3,45-64,387794
270,0,2020,3,More than one adult with no children,4,65 & Over,296103
271,0,2020,4,More than one adult with children,0,Total,590425
272,0,2020,4,More than one adult with children,1,18-24,13325
273,0,2020,4,More than one adult with children,2,25-44,364702
274,0,2020,4,More than one adult with children,3,45-64,194140
275,0,2020,4,More than one adult with children,4,65 & Over,18258
276,0,2021,0,All Households,0,Total,2336166
277,0,2021,0,All Households,1,18-24,101692
278,0,2021,0,All Households,2,25-44,837779
279,0,2021,0,All Households,3,45-64,831367
280,0,2021,0,All Households,4,65 & Over,565328
281,0,2021,1,One adult with no children,0,Total,657128
282,0,2021,1,One adult with no children,1,18-24,27371
283,0,2021,1,One adult with no children,2,25-44,171384
284,0,2021,1,One adult with no children,3,45-64,219975
285,0,2021,1,One adult with no children,4,65 & Over,238398
286,0,2021,2,One adult with children,0,Total,99785
287,0,2021,2,One adult with children,1,18-24,3133
288,0,2021,2,One adult with children,2,25-44,67988
289,0,2021,2,One adult with children,3,45-64,27949
290,0,2021,2,One adult with children,4,65 & Over,715
291,0,2021,3,More than one adult with no children,0,Total,980986
292,0,2021,3,More than one adult with no children,1,18-24,57677
293,0,2021,3,More than one adult with no children,2,25-44,227459
294,0,2021,3,More than one adult with no children,3,45-64,388716
295,0,2021,3,More than one adult with no children,4,65 & Over,307134
296,0,2021,4,More than one adult with children,0,Total,598267
297,0,2021,4,More than one adult with children,1,18-24,13511
298,0,2021,4,More than one adult with children,2,25-44,370948
299,0,2021,4,More than one adult with children,3,45-64,194727
300,0,2021,4,More than one adult with children,4,65 & Over,19081
301,0,2022,0,All Households,0,Total,2374634
302,0,2022,0,All Households,1,18-24,103432
303,0,2022,0,All Households,2,25-44,852009
304,0,2022,0,All Households,3,45-64,833937
305,0,2022,0,All Households,4,65 & Over,585256
306,0,2022,1,One adult with no children,0,Total,668975
307,0,2022,1,One adult with no children,1,18-24,27816
308,0,2022,1,One adult with no children,2,25-44,174202
309,0,2022,1,One adult with no children,3,45-64,220657
310,0,2022,1,One adult with no children,4,65 & Over,246300
311,0,2022,2,One adult with children,0,Total,101102
312,0,2022,2,One adult with children,1,18-24,3180
313,0,2022,2,One adult with children,2,25-44,69167
314,0,2022,2,One adult with children,3,45-64,28035
315,0,2022,2,One adult with children,4,65 & Over,720
316,0,2022,3,More than one adult with no children,0,Total,998100
317,0,2022,3,More than one adult with no children,1,18-24,58697
318,0,2022,3,More than one adult with no children,2,25-44,231249
319,0,2022,3,More than one adult with no children,3,45-64,389846
320,0,2022,3,More than one adult with no children,4,65 & Over,318308
321,0,2022,4,More than one adult with children,0,Total,606457
322,0,2022,4,More than one adult with children,1,18-24,13739
323,0,2022,4,More than one adult with children,2,25-44,377391
324,0,2022,4,More than one adult with children,3,45-64,195399
325,0,2022,4,More than one adult with children,4,65 & Over,19928
326,0,2023,0,All Households,0,Total,2414415
327,0,2023,0,All Households,1,18-24,105120
328,0,2023,0,All Households,2,25-44,866879
329,0,2023,0,All Households,3,45-64,837486
330,0,2023,0,All Households,4,65 & Over,604930
331,0,2023,1,One adult with no children,0,Total,681059
332,0,2023,1,One adult with no children,1,18-24,28244
333,0,2023,1,One adult with no children,2,25-44,177172
334,0,2023,1,One adult with no children,3,45-64,221584
335,0,2023,1,One adult with no children,4,65 & Over,254059
336,0,2023,2,One adult with children,0,Total,102504
337,0,2023,2,One adult with children,1,18-24,3226
338,0,2023,2,One adult with children,2,25-44,70389
339,0,2023,2,One adult with children,3,45-64,28161
340,0,2023,2,One adult with children,4,65 & Over,728
341,0,2023,3,More than one adult with no children,0,Total,1015734
342,0,2023,3,More than one adult with no children,1,18-24,59690
343,0,2023,3,More than one adult with no children,2,25-44,235227
344,0,2023,3,More than one adult with no children,3,45-64,391453
345,0,2023,3,More than one adult with no children,4,65 & Over,329364
346,0,2023,4,More than one adult with children,0,Total,615118
347,0,2023,4,More than one adult with children,1,18-24,13960
348,0,2023,4,More than one adult with children,2,25-44,384091
349,0,2023,4,More than one adult with children,3,45-64,196288
350,0,2023,4,More than one adult with children,4,65 & Over,20779
351,0,2024,0,All Households,0,Total,2454608
352,0,2024,0,All Households,1,18-24,106703
353,0,2024,0,All Households,2,25-44,881934
354,0,2024,0,All Households,3,45-64,841578
355,0,2024,0,All Households,4,65 & Over,624393
356,0,2024,1,One adult with no children,0,Total,693180
357,0,2024,1,One adult with no children,1,18-24,28644
358,0,2024,1,One adult with no children,2,25-44,180193
359,0,2024,1,One adult with no children,3,45-64,222641
360,0,2024,1,One adult with no children,4,65 & Over,261702
361,0,2024,2,One adult with children,0,Total,103927
362,0,2024,2,One adult with children,1,18-24,3270
363,0,2024,2,One adult with children,2,25-44,71627
364,0,2024,2,One adult with children,3,45-64,28299
365,0,2024,2,One adult with children,4,65 & Over,731
366,0,2024,3,More than one adult with no children,0,Total,1033554
367,0,2024,3,More than one adult with no children,1,18-24,60618
368,0,2024,3,More than one adult with no children,2,25-44,239260
369,0,2024,3,More than one adult with no children,3,45-64,393347
370,0,2024,3,More than one adult with no children,4,65 & Over,340329
371,0,2024,4,More than one adult with children,0,Total,623947
372,0,2024,4,More than one adult with children,1,18-24,14171
373,0,2024,4,More than one adult with children,2,25-44,390854
374,0,2024,4,More than one adult with children,3,45-64,197291
375,0,2024,4,More than one adult with children,4,65 & Over,21631
376,0,2025,0,All Households,0,Total,2495931
377,0,2025,0,All Households,1,18-24,108020
378,0,2025,0,All Households,2,25-44,896451
379,0,2025,0,All Households,3,45-64,847014
380,0,2025,0,All Households,4,65 & Over,644446
381,0,2025,1,One adult with no children,0,Total,705657
382,0,2025,1,One adult with no children,1,18-24,28968
383,0,2025,1,One adult with no children,2,25-44,183089
384,0,2025,1,One adult with no children,3,45-64,224051
385,0,2025,1,One adult with no children,4,65 & Over,269549
386,0,2025,2,One adult with children,0,Total,105349
387,0,2025,2,One adult with children,1,18-24,3309
388,0,2025,2,One adult with children,2,25-44,72816
389,0,2025,2,One adult with children,3,45-64,28485
390,0,2025,2,One adult with children,4,65 & Over,739
391,0,2025,3,More than one adult with no children,0,Total,1052081
392,0,2025,3,More than one adult with no children,1,18-24,61397
393,0,2025,3,More than one adult with no children,2,25-44,243170
394,0,2025,3,More than one adult with no children,3,45-64,395882
395,0,2025,3,More than one adult with no children,4,65 & Over,351632
396,0,2025,4,More than one adult with children,0,Total,632844
397,0,2025,4,More than one adult with children,1,18-24,14346
398,0,2025,4,More than one adult with children,2,25-44,397376
399,0,2025,4,More than one adult with children,3,45-64,198596
400,0,2025,4,More than one adult with children,4,65 & Over,22526
401,0,2026,0,All Households,0,Total,2536542
402,0,2026,0,All Households,1,18-24,108965
403,0,2026,0,All Households,2,25-44,911908
404,0,2026,0,All Households,3,45-64,852723
405,0,2026,0,All Households,4,65 & Over,662946
406,0,2026,1,One adult with no children,0,Total,717603
407,0,2026,1,One adult with no children,1,18-24,29192
408,0,2026,1,One adult with no children,2,25-44,186192
409,0,2026,1,One adult with no children,3,45-64,225518
410,0,2026,1,One adult with no children,4,65 & Over,276701
411,0,2026,2,One adult with children,0,Total,106826
412,0,2026,2,One adult with children,1,18-24,3335
413,0,2026,2,One adult with children,2,25-44,74079
414,0,2026,2,One adult with children,3,45-64,28674
415,0,2026,2,One adult with children,4,65 & Over,738
416,0,2026,3,More than one adult with no children,0,Total,1070006
417,0,2026,3,More than one adult with no children,1,18-24,61967
418,0,2026,3,More than one adult with no children,2,25-44,247332
419,0,2026,3,More than one adult with no children,3,45-64,398573
420,0,2026,3,More than one adult with no children,4,65 & Over,362134
421,0,2026,4,More than one adult with children,0,Total,642107
422,0,2026,4,More than one adult with children,1,18-24,14471
423,0,2026,4,More than one adult with children,2,25-44,404305
424,0,2026,4,More than one adult with children,3,45-64,199958
425,0,2026,4,More than one adult with children,4,65 & Over,23373
426,0,2027,0,All Households,0,Total,2575975
427,0,2027,0,All Households,1,18-24,109621
428,0,2027,0,All Households,2,25-44,926253
429,0,2027,0,All Households,3,45-64,860252
430,0,2027,0,All Households,4,65 & Over,679849
431,0,2027,1,One adult with no children,0,Total,729040
432,0,2027,1,One adult with no children,1,18-24,29340
433,0,2027,1,One adult with no children,2,25-44,189053
434,0,2027,1,One adult with no children,3,45-64,227479
435,0,2027,1,One adult with no children,4,65 & Over,283168
436,0,2027,2,One adult with children,0,Total,108275
437,0,2027,2,One adult with children,1,18-24,3350
438,0,2027,2,One adult with children,2,25-44,75263
439,0,2027,2,One adult with children,3,45-64,28925
440,0,2027,2,One adult with children,4,65 & Over,737
441,0,2027,3,More than one adult with no children,0,Total,1087438
442,0,2027,3,More than one adult with no children,1,18-24,62366
443,0,2027,3,More than one adult with no children,2,25-44,251196
444,0,2027,3,More than one adult with no children,3,45-64,402103
445,0,2027,3,More than one adult with no children,4,65 & Over,371773
446,0,2027,4,More than one adult with children,0,Total,651222
447,0,2027,4,More than one adult with children,1,18-24,14565
448,0,2027,4,More than one adult with children,2,25-44,410741
449,0,2027,4,More than one adult with children,3,45-64,201745
450,0,2027,4,More than one adult with children,4,65 & Over,24171
451,0,2028,0,All Households,0,Total,2614984
452,0,2028,0,All Households,1,18-24,109769
453,0,2028,0,All Households,2,25-44,940056
454,0,2028,0,All Households,3,45-64,869619
455,0,2028,0,All Households,4,65 & Over,695540
456,0,2028,1,One adult with no children,0,Total,740150
457,0,2028,1,One adult with no children,1,18-24,29350
458,0,2028,1,One adult with no children,2,25-44,191778
459,0,2028,1,One adult with no children,3,45-64,229932
460,0,2028,1,One adult with no children,4,65 & Over,289090
461,0,2028,2,One adult with children,0,Total,109719
462,0,2028,2,One adult with children,1,18-24,3354
463,0,2028,2,One adult with children,2,25-44,76397
464,0,2028,2,One adult with children,3,45-64,29240
465,0,2028,2,One adult with children,4,65 & Over,728
466,0,2028,3,More than one adult with no children,0,Total,1104642
467,0,2028,3,More than one adult with no children,1,18-24,62477
468,0,2028,3,More than one adult with no children,2,25-44,254909
469,0,2028,3,More than one adult with no children,3,45-64,406479
470,0,2028,3,More than one adult with no children,4,65 & Over,380777
471,0,2028,4,More than one adult with children,0,Total,660473
472,0,2028,4,More than one adult with children,1,18-24,14588
473,0,2028,4,More than one adult with children,2,25-44,416972
474,0,2028,4,More than one adult with children,3,45-64,203968
475,0,2028,4,More than one adult with children,4,65 & Over,24945
476,0,2029,0,All Households,0,Total,2653232
477,0,2029,0,All Households,1,18-24,109739
478,0,2029,0,All Households,2,25-44,953158
479,0,2029,0,All Households,3,45-64,880416
480,0,2029,0,All Households,4,65 & Over,709919
481,0,2029,1,One adult with no children,0,Total,750838
482,0,2029,1,One adult with no children,1,18-24,29322
483,0,2029,1,One adult with no children,2,25-44,194329
484,0,2029,1,One adult with no children,3,45-64,232769
485,0,2029,1,One adult with no children,4,65 & Over,294418
486,0,2029,2,One adult with children,0,Total,111154
487,0,2029,2,One adult with children,1,18-24,3348
488,0,2029,2,One adult with children,2,25-44,77483
489,0,2029,2,One adult with children,3,45-64,29600
490,0,2029,2,One adult with children,4,65 & Over,723
491,0,2029,3,More than one adult with no children,0,Total,1121507
492,0,2029,3,More than one adult with no children,1,18-24,62481
493,0,2029,3,More than one adult with no children,2,25-44,258416
494,0,2029,3,More than one adult with no children,3,45-64,411512
495,0,2029,3,More than one adult with no children,4,65 & Over,389098
496,0,2029,4,More than one adult with children,0,Total,669733
497,0,2029,4,More than one adult with children,1,18-24,14588
498,0,2029,4,More than one adult with children,2,25-44,422930
499,0,2029,4,More than one adult with children,3,45-64,206535
500,0,2029,4,More than one adult with children,4,65 & Over,25680
501,0,2030,0,All Households,0,Total,2690521
502,0,2030,0,All Households,1,18-24,109480
503,0,2030,0,All Households,2,25-44,964528
504,0,2030,0,All Households,3,45-64,893813
505,0,2030,0,All Households,4,65 & Over,722700
506,0,2030,1,One adult with no children,0,Total,761078
507,0,2030,1,One adult with no children,1,18-24,29226
508,0,2030,1,One adult with no children,2,25-44,196495
509,0,2030,1,One adult with no children,3,45-64,236282
510,0,2030,1,One adult with no children,4,65 & Over,299075
511,0,2030,2,One adult with children,0,Total,112522
512,0,2030,2,One adult with children,1,18-24,3340
513,0,2030,2,One adult with children,2,25-44,78422
514,0,2030,2,One adult with children,3,45-64,30050
515,0,2030,2,One adult with children,4,65 & Over,710
516,0,2030,3,More than one adult with no children,0,Total,1138142
517,0,2030,3,More than one adult with no children,1,18-24,62354
518,0,2030,3,More than one adult with no children,2,25-44,261461
519,0,2030,3,More than one adult with no children,3,45-64,417773
520,0,2030,3,More than one adult with no children,4,65 & Over,396554
521,0,2030,4,More than one adult with children,0,Total,678779
522,0,2030,4,More than one adult with children,1,18-24,14560
523,0,2030,4,More than one adult with children,2,25-44,428150
524,0,2030,4,More than one adult with children,3,45-64,209708
525,0,2030,4,More than one adult with children,4,65 & Over,26361
526,0,2031,0,All Households,0,Total,2728546
527,0,2031,0,All Households,1,18-24,109108
528,0,2031,0,All Households,2,25-44,975028
529,0,2031,0,All Households,3,45-64,910570
530,0,2031,0,All Households,4,65 & Over,733840
531,0,2031,1,One adult with no children,0,Total,771648
532,0,2031,1,One adult with no children,1,18-24,29105
533,0,2031,1,One adult with no children,2,25-44,198469
534,0,2031,1,One adult with no children,3,45-64,240684
535,0,2031,1,One adult with no children,4,65 & Over,303390
536,0,2031,2,One adult with children,0,Total,113941
537,0,2031,2,One adult with children,1,18-24,3325
538,0,2031,2,One adult with children,2,25-44,79290
539,0,2031,2,One adult with children,3,45-64,30610
540,0,2031,2,One adult with children,4,65 & Over,716
541,0,2031,3,More than one adult with no children,0,Total,1154914
542,0,2031,3,More than one adult with no children,1,18-24,62178
543,0,2031,3,More than one adult with no children,2,25-44,264281
544,0,2031,3,More than one adult with no children,3,45-64,425607
545,0,2031,3,More than one adult with no children,4,65 & Over,402848
546,0,2031,4,More than one adult with children,0,Total,688043
547,0,2031,4,More than one adult with children,1,18-24,14500
548,0,2031,4,More than one adult with children,2,25-44,432988
549,0,2031,4,More than one adult with children,3,45-64,213669
550,0,2031,4,More than one adult with children,4,65 & Over,26886
551,0,2032,0,All Households,0,Total,2765501
552,0,2032,0,All Households,1,18-24,108879
553,0,2032,0,All Households,2,25-44,985292
554,0,2032,0,All Households,3,45-64,927444
555,0,2032,0,All Households,4,65 & Over,743886
556,0,2032,1,One adult with no children,0,Total,781757
557,0,2032,1,One adult with no children,1,18-24,29017
558,0,2032,1,One adult with no children,2,25-44,200383
